accion,tiempo_ns
firma,4358800
cifrar_tabla_(asimetrico),2505700
cifrar_tabla_(simetrico),166800
verificacion,259700
firma,1099400
cifrar_tabla_(asimetrico),84300
cifrar_tabla_(simetrico),19100
verificacion,231800
firma,1444600
cifrar_tabla_(asimetrico),90400
cifrar_tabla_(simetrico),18900
verificacion,143100
firma,1478500
cifrar_tabla_(asimetrico),74900
cifrar_tabla_(simetrico),16600
verificacion,169300
firma,1203700
firma,1059900
cifrar_tabla_(asimetrico),77900
cifrar_tabla_(simetrico),17100
verificacion,159800
cifrar_tabla_(asimetrico),82100
cifrar_tabla_(simetrico),35800
verificacion,156100
firma,1183500
cifrar_tabla_(asimetrico),70300
cifrar_tabla_(simetrico),19500
verificacion,167600
firma,1115200
cifrar_tabla_(asimetrico),105300
cifrar_tabla_(simetrico),20400
verificacion,253200
firma,1123600
cifrar_tabla_(asimetrico),73500
cifrar_tabla_(simetrico),16600
verificacion,149300
firma,1175600
cifrar_tabla_(asimetrico),79100
cifrar_tabla_(simetrico),23500
verificacion,213700
firma,1176300
cifrar_tabla_(asimetrico),62400
cifrar_tabla_(simetrico),19300
verificacion,178500
firma,1828700
cifrar_tabla_(asimetrico),75900
cifrar_tabla_(simetrico),80200
verificacion,568600
firma,1109300
cifrar_tabla_(asimetrico),72600
cifrar_tabla_(simetrico),19600
verificacion,249600
firma,1134600
firma,1275200
cifrar_tabla_(asimetrico),55600
cifrar_tabla_(simetrico),19300
verificacion,160100
cifrar_tabla_(asimetrico),72000
cifrar_tabla_(simetrico),18600
verificacion,143800
firma,1233500
cifrar_tabla_(asimetrico),77100
cifrar_tabla_(simetrico),24100
verificacion,239000
firma,991800
cifrar_tabla_(asimetrico),82500
cifrar_tabla_(simetrico),25300
verificacion,218900
firma,718200
firma,470400
cifrar_tabla_(asimetrico),51600
cifrar_tabla_(simetrico),23300
firma,505900
verificacion,165000
cifrar_tabla_(asimetrico),48500
cifrar_tabla_(simetrico),17600
verificacion,222600
firma,516200
cifrar_tabla_(asimetrico),137900
cifrar_tabla_(simetrico),21800
verificacion,173300
firma,522100
cifrar_tabla_(asimetrico),57700
cifrar_tabla_(simetrico),20100
verificacion,184000
cifrar_tabla_(asimetrico),57100
cifrar_tabla_(simetrico),20000
verificacion,166000
firma,810400
cifrar_tabla_(asimetrico),51700
cifrar_tabla_(simetrico),18900
verificacion,185800
firma,1007900
cifrar_tabla_(asimetrico),54700
cifrar_tabla_(simetrico),18600
verificacion,168700
firma,532700
cifrar_tabla_(asimetrico),97200
cifrar_tabla_(simetrico),37100
verificacion,159800
firma,622100
cifrar_tabla_(asimetrico),80100
cifrar_tabla_(simetrico),133500
verificacion,121700
firma,363600
cifrar_tabla_(asimetrico),60900
cifrar_tabla_(simetrico),16700
verificacion,155800
firma,573800
cifrar_tabla_(asimetrico),38100
cifrar_tabla_(simetrico),16400
verificacion,107100
firma,566200
cifrar_tabla_(asimetrico),56700
cifrar_tabla_(simetrico),20000
verificacion,253900
firma,312700
cifrar_tabla_(asimetrico),32200
cifrar_tabla_(simetrico),13000
verificacion,55200
firma,299500
cifrar_tabla_(asimetrico),23500
cifrar_tabla_(simetrico),21300
verificacion,76300
firma,240500
cifrar_tabla_(asimetrico),37700
cifrar_tabla_(simetrico),10400
verificacion,80700
