accion,tiempo_ns
firma,10799800
cifrar_tabla_(asimetrico),149300
cifrar_tabla_(simetrico),190200
verificacion,295100
firma,1248800
cifrar_tabla_(asimetrico),95000
cifrar_tabla_(simetrico),18800
verificacion,233900
firma,2030100
cifrar_tabla_(asimetrico),89600
cifrar_tabla_(simetrico),23000
verificacion,333700
firma,749100
cifrar_tabla_(asimetrico),71100
cifrar_tabla_(simetrico),22300
verificacion,311000
firma,812800
cifrar_tabla_(asimetrico),107500
cifrar_tabla_(simetrico),24100
verificacion,269200
firma,4904200
cifrar_tabla_(asimetrico),66400
cifrar_tabla_(simetrico),20100
verificacion,210400
firma,1713200
firma,1209100
cifrar_tabla_(asimetrico),75600
cifrar_tabla_(simetrico),23600
cifrar_tabla_(asimetrico),65700
verificacion,257200
firma,668200
cifrar_tabla_(asimetrico),56100
cifrar_tabla_(simetrico),18500
verificacion,236500
firma,664900
cifrar_tabla_(asimetrico),112900
cifrar_tabla_(simetrico),19400
verificacion,190000
firma,765500
cifrar_tabla_(asimetrico),108900
cifrar_tabla_(simetrico),25600
verificacion,326100
firma,884700
cifrar_tabla_(asimetrico),105300
cifrar_tabla_(simetrico),19600
verificacion,193600
cifrar_tabla_(simetrico),20400
verificacion,227900
firma,691200
cifrar_tabla_(asimetrico),76700
cifrar_tabla_(simetrico),25900
verificacion,758900
firma,825400
cifrar_tabla_(asimetrico),69700
cifrar_tabla_(simetrico),25500
verificacion,783700
firma,1175600
cifrar_tabla_(asimetrico),72300
cifrar_tabla_(simetrico),46200
verificacion,253100
firma,1591300
cifrar_tabla_(asimetrico),80200
cifrar_tabla_(simetrico),34400
verificacion,205100
firma,877900
cifrar_tabla_(asimetrico),61300
cifrar_tabla_(simetrico),23400
verificacion,136400
firma,596000
cifrar_tabla_(asimetrico),60900
cifrar_tabla_(simetrico),18800
verificacion,181400
firma,597400
cifrar_tabla_(asimetrico),57000
cifrar_tabla_(simetrico),18600
verificacion,152300
firma,635800
cifrar_tabla_(asimetrico),64900
cifrar_tabla_(simetrico),21000
verificacion,204600
firma,679000
cifrar_tabla_(asimetrico),113800
cifrar_tabla_(simetrico),23500
verificacion,116800
firma,711500
firma,557900
cifrar_tabla_(asimetrico),71100
cifrar_tabla_(simetrico),27100
verificacion,120800
firma,629100
cifrar_tabla_(asimetrico),59100
cifrar_tabla_(simetrico),19600
verificacion,123500
firma,674000
firma,673200
firma,608900
cifrar_tabla_(asimetrico),49600
cifrar_tabla_(simetrico),19100
verificacion,100200
cifrar_tabla_(asimetrico),51600
cifrar_tabla_(simetrico),20200
verificacion,183800
firma,1677700
cifrar_tabla_(asimetrico),97000
cifrar_tabla_(simetrico),23700
verificacion,105100
cifrar_tabla_(asimetrico),64000
cifrar_tabla_(simetrico),34300
verificacion,116200
firma,590300
cifrar_tabla_(asimetrico),66000
cifrar_tabla_(simetrico),22000
verificacion,205500
cifrar_tabla_(asimetrico),61600
cifrar_tabla_(simetrico),21500
verificacion,133300
firma,573500
cifrar_tabla_(asimetrico),53200
cifrar_tabla_(simetrico),19600
firma,706300
verificacion,129600
cifrar_tabla_(asimetrico),55600
cifrar_tabla_(simetrico),46600
verificacion,153100
firma,628600
cifrar_tabla_(asimetrico),66100
cifrar_tabla_(simetrico),21400
verificacion,108100
firma,673200
firma,580400
cifrar_tabla_(asimetrico),560700
cifrar_tabla_(simetrico),44200
verificacion,927900
firma,663400
cifrar_tabla_(asimetrico),85900
cifrar_tabla_(simetrico),21200
cifrar_tabla_(asimetrico),55600
cifrar_tabla_(simetrico),31400
verificacion,146700
firma,609700
cifrar_tabla_(asimetrico),58600
cifrar_tabla_(simetrico),50900
verificacion,111600
verificacion,143700
firma,654700
cifrar_tabla_(asimetrico),57800
cifrar_tabla_(simetrico),24200
verificacion,172400
firma,657400
cifrar_tabla_(asimetrico),57900
cifrar_tabla_(simetrico),22700
verificacion,129500
firma,60729100
firma,866300
cifrar_tabla_(asimetrico),64900
cifrar_tabla_(simetrico),23500
verificacion,89800
cifrar_tabla_(asimetrico),56300
cifrar_tabla_(simetrico),17700
verificacion,92800
firma,670700
cifrar_tabla_(asimetrico),57800
firma,625200
cifrar_tabla_(simetrico),26200
verificacion,145700
cifrar_tabla_(asimetrico),77700
cifrar_tabla_(simetrico),15500
firma,555100
verificacion,79200
cifrar_tabla_(asimetrico),53800
cifrar_tabla_(simetrico),16100
verificacion,157300
firma,664100
firma,936400
cifrar_tabla_(asimetrico),52500
cifrar_tabla_(simetrico),18100
firma,677600
verificacion,129100
cifrar_tabla_(asimetrico),56600
cifrar_tabla_(simetrico),18200
verificacion,86700
firma,636000
cifrar_tabla_(asimetrico),52700
cifrar_tabla_(asimetrico),50900
cifrar_tabla_(simetrico),18900
cifrar_tabla_(simetrico),16700
verificacion,91000
verificacion,109800
firma,1286300
cifrar_tabla_(asimetrico),63400
cifrar_tabla_(simetrico),17800
verificacion,109600
firma,801000
cifrar_tabla_(asimetrico),47000
cifrar_tabla_(simetrico),33800
verificacion,128000
firma,732500
cifrar_tabla_(asimetrico),47900
cifrar_tabla_(simetrico),18500
verificacion,158700
firma,1507900
firma,771600
cifrar_tabla_(asimetrico),56000
cifrar_tabla_(simetrico),41500
cifrar_tabla_(asimetrico),42800
cifrar_tabla_(simetrico),13300
verificacion,225400
verificacion,115400
firma,630600
cifrar_tabla_(asimetrico),55000
cifrar_tabla_(simetrico),16600
verificacion,106800
firma,611900
cifrar_tabla_(asimetrico),59500
cifrar_tabla_(simetrico),15400
verificacion,85000
firma,598000
cifrar_tabla_(asimetrico),65500
cifrar_tabla_(simetrico),102600
verificacion,90700
firma,665500
cifrar_tabla_(asimetrico),48400
cifrar_tabla_(simetrico),21600
verificacion,92500
firma,411000
cifrar_tabla_(asimetrico),52200
cifrar_tabla_(simetrico),17700
verificacion,93200
firma,563000
cifrar_tabla_(asimetrico),48300
cifrar_tabla_(simetrico),23300
verificacion,114700
firma,557500
cifrar_tabla_(asimetrico),38000
cifrar_tabla_(simetrico),15400
verificacion,121700
firma,517400
cifrar_tabla_(asimetrico),40400
cifrar_tabla_(simetrico),19000
verificacion,106300
firma,1206700
cifrar_tabla_(asimetrico),37800
cifrar_tabla_(simetrico),18200
verificacion,111900
firma,535500
cifrar_tabla_(asimetrico),43000
cifrar_tabla_(simetrico),17700
verificacion,106700
firma,246800
cifrar_tabla_(asimetrico),31200
cifrar_tabla_(simetrico),11400
verificacion,72900
firma,258700
cifrar_tabla_(asimetrico),40900
cifrar_tabla_(simetrico),13900
verificacion,74400
